5
AGL Experiment
2/24/2017	4:24:54 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
CFG SSC	5	5	CFG SSC	1	CFG String Training, 15	16	CFG String Training (15, AADCCBB)	16	30360	AADCCBB	AADCCBB						AADCCBB	C	1785	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 20	21	CFG String Training (20, CADDACBB)	21	34288	CADDACBB	CADDACBB						CADDACBB	C	1245	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 10	11	CFG String Training (10, BACAAB)	11	38032	BACAAB	BACAAB						BACAAB	C	1455	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 13	14	CFG String Training (13, BBDCDAB)	14	45680	BBDCDAB	BBDCDAB						BBDCDAB	C	2890	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 4	5	CFG String Training (4, DDACB)	5	48296	DDACB	DDACB						DDACB	C	920	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 17	18	CFG String Training (17, DCAADBB)	18	52760	DCAADBB	DCAADBB						DCAADBB	C	1112	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 7	8	CFG String Training (7, ACBDAB)	8	56392	ACBDAB	ACBDAB						ACBDAB	C	933	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 1	2	CFG String Training (1, AACBB)	2	58888	AACBB	AACBB						AACBB	C	764	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 16	17	CFG String Training (16, DCDDABA)	17	61760	DCDDABA	DCDDABA						DCDDABA	C	976	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	66368	BCADDABA	BCADDABA						BCADDABA	C	1781	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 12	13	CFG String Training (12, CBBDBA)	13	69464	CBBDBA	CBBDBA						CBBDBA	C	1165	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 18	19	CFG String Training (18, ADCAAAB)	19	74536	ADCAAAB	ADCAAAB						ADCAAAB	C	745	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 11	12	CFG String Training (11, CCCBCB)	12	77255	CCCBCB	CCCBCB						CCCBCB	C	1047	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 6	7	CFG String Training (6, BDACD)	7	80543	BDACD	BDACD						BDACD	C	1281	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 22	23	CFG String Training (22, ABDCCABA)	23	84824	ABDCCABA	ABDCCABA						ABDCCABA	C	1638	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 8	9	CFG String Training (8, ADADAB)	9	89663	ADADAB	ADADAB						ADADAB	C	802	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 21	22	CFG String Training (21, CDAADBBB)	22	94591	CDAADBBB	CDAADBBB						CDAADBBB	C	1121	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 23	24	CFG String Training (23, DCDABDBB)	24	100999	DCDABDBB	DCDABDBB						DCDABDBB	C	1156	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 9	10	CFG String Training (9, DCCBDA)	10	104287	DCCBDA	DCCBDA						DCCBDA	C	1068	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 2	3	CFG String Training (2, ABDAA)	3	106623	ABDAA	ABDAA						ABDAA	C	848	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 14	15	CFG String Training (14, ABCCBBA)	15	109111	ABCCBBA	ABCCBBA						ABCCBBA	C	659	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 5	6	CFG String Training (5, ACADD)	6	111319	ACADD	ACADD						ACADD	C	711	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 3	4	CFG String Training (3, CDABA)	4	114383	CDABA	CDABA						CDABA	C	1103	
CFG SSC	5	5	CFG SSC	1	CFG String Training, 19	20	CFG String Training (19, ABADCABB)	20	118087	ABADCABB	ABADCABB						ABADCABB	C	677	
CFG SSC	5	5	CFG SSC	1	CFG String Training1, 11	36	CFG String Training (11, CCCBCB)	12	120671	CCCBCB	CCCBCB						CCCBCB	C	768	
CFG SSC	5	5	CFG SSC	1	CFG String Training1, 21	46	CFG String Training (21, CDAADBBB)	22	124839	CDAADBBB	CDAADBBB						CDAADBBB	C	985	
CFG SSC	5	5	CFG SSC	1	CFG String Training1, 3	28	CFG String Training (3, CDABA)	4	127335	CDABA	CDABA						CDABA	C	1050	
CFG SSC	5	5	CFG SSC	1	CFG String Training1, 6	31	CFG String Training (6, BDACD)	7	130311	BDACD	BDACD						BDACD	C	1143	
CFG SSC	5	5	CFG SSC	1	CFG String Training1, 5	30	CFG String Training (5, ACADD)	6	132487	ACADD	ACADD						ACADD	C	767	
