8
AGL Experiment
3/22/2017	5:19:49 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 11	36	CFG String Training (11, CCCBCB)	12	119599	CCCBCB	CCCBCB						CCCBCB	C	622	
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 8	33	CFG String Training (8, ADADAB)	9	122102	ADADAB	ADADAB						ADADAB	C	603	
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 18	43	CFG String Training (18, ADCAAAB)	19	124094	ADCAAAB	ADCAAAB						ADCAAAB	C	663	
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 23	48	CFG String Training (23, DCDABDBB)	24	127414	DCDABDBB	DCDABDBB						DCDABDBB	C	647	
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 13	38	CFG String Training (13, BBDCDAB)	14	129438	BBDCDAB	BBDCDAB						BBDCDAB	C	707	
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 12	37	CFG String Training (12, CBBDBA)	13	132598	CBBDBA	CBBDBA						CBBDBA	C	794	
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 15	40	CFG String Training (15, AADCCBB)	16	134630	AADCCBB	AADCCBB						AADCCBB	C	691	
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 1	26	CFG String Training (1, AACBB)	2	136454	AACBB	AACBB						AACBB	C	642	
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 10	35	CFG String Training (10, BACAAB)	11	138286	BACAAB	BACAAB						BACAAB	C	650	
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 5	30	CFG String Training (5, ACADD)	6	139694	ACADD	ACADD						ACADD	C	600	
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 17	42	CFG String Training (17, DCAADBB)	18	141726	DCAADBB	DCAADBB						DCAADBB	C	688	
CFG SSC	8	8	CFG SSC	1	CFG String Training1, 2	27	CFG String Training (2, ABDAA)	3	143206	ABDAA	ABDAA						ABDAA	C	607	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 22	71	CFG String Training (22, ABDCCABA)	23	145190	ABDCCABA	ABDCCABA						ABDCCABA	C	660	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 9	58	CFG String Training (9, DCCBDA)	10	146870	DCCBDA	DCCBDA						DCCBDA	C	676	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 4	53	CFG String Training (4, DDACB)	5	148990	DDACB	DDACB						DDACB	C	673	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 11	60	CFG String Training (11, CCCBCB)	12	150750	CCCBCB	CCCBCB						CCCBCB	C	572	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 21	70	CFG String Training (21, CDAADBBB)	22	153206	CDAADBBB	CDAADBBB						CDAADBBB	C	702	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 8	57	CFG String Training (8, ADADAB)	9	154734	ADADAB	ADADAB						ADADAB	C	660	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 12	61	CFG String Training (12, CBBDBA)	13	156502	CBBDBA	CBBDBA						CBBDBA	C	622	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 10	59	CFG String Training (10, BACAAB)	11	158118	BACAAB	BACAAB						BACAAB	C	640	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 1	50	CFG String Training (1, AACBB)	2	159614	AACBB	AACBB						AACBB	C	615	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 13	62	CFG String Training (13, BBDCDAB)	14	161766	BBDCDAB	BBDCDAB						BBDCDAB	C	666	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 14	63	CFG String Training (14, ABCCBBA)	15	164286	ABCCBBA	ABCCBBA						ABCCBBA	C	613	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 3	52	CFG String Training (3, CDABA)	4	165870	CDABA	CDABA						CDABA	C	719	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 2	51	CFG String Training (2, ABDAA)	3	167286	ABDAA	ABDAA						ABDAA	C	584	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 15	64	CFG String Training (15, AADCCBB)	16	169326	AADCCBB	AADCCBB						AADCCBB	C	712	
CFG SSC	8	8	CFG SSC	1	CFG String Training2, 24	73	CFG String Training (24, BCADDABA)	25	171406	BCADDABA	BCADDABA						BCADDABA	C	679	
