2
AGL Experiment
11/28/2016	3:17:03 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SCS	2	2	RE SCS	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	59872	CAABBAD	CAABBAD						CAABBAD	C	2447	
RE SCS	2	2	RE SCS	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	65679	CBBBD	CBBBD						CBBBD	C	2053	
RE SCS	2	2	RE SCS	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	71311	CABABD	CABABD						CABABD	C	1213	
RE SCS	2	2	RE SCS	1	RE String Training, 7	8	RE String Training (7, ABDAAD)	8	74879	ABDAAD	ABDAAD						ABDAAD	C	739	
RE SCS	2	2	RE SCS	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	77663	AADBA	AADBA						AADBA	C	629	
RE SCS	2	2	RE SCS	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	85303		BDAAAAAA						BDAAAAAD	E	1581	
RE SCS	2	2	RE SCS	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	91231	BDAAAAAD	BDAAAAAD						BDAAAAAD	SC	9437	
RE SCS	2	2	RE SCS	1	RE String Training, 4	5	RE String Training (4, ADBDD)	5	94559	ADBDD	ADBDD						ADBDD	C	823	
RE SCS	2	2	RE SCS	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	98799	ADBDBAD	ADBDBAD						ADBDBAD	C	970	
RE SCS	2	2	RE SCS	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	103831	CAABABBD	CAABABBD						CAABABBD	C	1144	
RE SCS	2	2	RE SCS	1	RE String Training, 23	24	RE String Training (23, ADDBDBAD)	24	108231	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	720	
RE SCS	2	2	RE SCS	1	RE String Training, 17	18	RE String Training (17, ACAAABD)	18	112831	ACAAABD	ACAAABD						ACAAABD	C	752	
