3
AGL Experiment
11/17/2016	3:01:53 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SSC	3	3	RE SSC	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	22729	CBBAAD	cbbaad						CBBAAD	C	2751	
RE SSC	3	3	RE SSC	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	26401	CABABD	cababd						CABABD	C	1340	
RE SSC	3	3	RE SSC	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	29297	AADBA	aadba						AADBA	C	666	
RE SSC	3	3	RE SSC	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	34142	ADBDBAD	adbdbad						ADBDBAD	C	982	
RE SSC	3	3	RE SSC	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	38198	DDBDBAD	ddbdbad						DDBDBAD	C	1493	
RE SSC	3	3	RE SSC	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	40790	CBBBD	cbbbd						CBBBD	C	1258	
RE SSC	3	3	RE SSC	1	RE String Training, 2	3	RE String Training (2, CABAD)	3	43198	CABAD	cabad						CABAD	C	1186	
RE SSC	3	3	RE SSC	1	RE String Training, 21	22	RE String Training (21, DDBDAAAD)	22	48830	DDBDAAAD	ddbdaaad						DDBDAAAD	C	1321	
RE SSC	3	3	RE SSC	1	RE String Training, 5	6	RE String Training (5, DADBA)	6	50902	DADBA	dadba						DADBA	C	896	
RE SSC	3	3	RE SSC	1	RE String Training, 9	10	RE String Training (9, DBDBBD)	10	54206	DBDBBD	dbdbbd						DBDBBD	C	1269	
RE SSC	3	3	RE SSC	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	57350	CAABBAD	caabbad						CAABBAD	C	1113	
RE SSC	3	3	RE SSC	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	60398	DCBBBAD	dcbbbad						DCBBBAD	C	1011	
RE SSC	3	3	RE SSC	1	RE String Training, 14	15	RE String Training (14, BDBAAAD)	15	64654	BDBAAAD	bdbaaad						BDBAAAD	C	1033	
RE SSC	3	3	RE SSC	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	69998	BDAAAAAD	bdaaaaad						BDAAAAAD	C	1399	
