SCS 1
AGL Experiment
2/23/2017	12:39:15 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 14	39	RE String Training (14, BDBAAAD)	15	127534	BDBAAAD	BDBAAAD						BDBAAAD	C	1415	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 17	42	RE String Training (17, ACAAABD)	18	131030	ACAAABD	ACAAABD						ACAAABD	C	849	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 11	36	RE String Training (11, CBBAAD)	12	133718	CBBAAD	CBBAAD						CBBAAD	C	869	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 6	31	RE String Training (6, BDABD)	7	136797	BDABD	BDABD						BDABD	C	1282	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 3	28	RE String Training (3, CBBBD)	4	138861	CBBBD	CBBBD						CBBBD	C	815	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 19	44	RE String Training (19, DAAADDBA)	20	141926	DAAADDBA	DAAADDBA						DAAADDBA	C	596	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 8	33	RE String Training (8, ADDDBA)	9	143861	ADDDBA	ADDDBA						ADDDBA	C	665	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 10	35	RE String Training (10, DDBDAD)	11	145757	DDBDAD	DDBDAD						DDBDAD	C	692	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 15	40	RE String Training (15, ADBDBAD)	16	148117	ADBDBAD	ADBDBAD						ADBDBAD	C	592	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 20	45	RE String Training (20, DDDAAABA)	21	150813	DDDAAABA	DDDAAABA						DDDAAABA	C	650	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 9	34	RE String Training (9, DBDBBD)	10	154013	DBDBBD	DBDBBD						DBDBBD	C	654	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 7	32	RE String Training (7, ABDAAD)	8	156165	ABDAAD	ABDAAD						ABDAAD	C	590	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 23	48	RE String Training (23, ADDBDBAD)	24	159597	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	632	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 7	56	RE String Training (7, ABDAAD)	8	163413	ABDAAD	ABDAAD						ABDAAD	C	703	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 21	70	RE String Training (21, DDBDAAAD)	22	170077	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	1590	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 22	71	RE String Training (22, BDAAAAAD)	23	172453	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	732	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 14	63	RE String Training (14, BDBAAAD)	15	174885	BDBAAAD	BDBAAAD						BDBAAAD	C	629	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 12	61	RE String Training (12, CABABD)	13	176853	CABABD	CABABD						CABABD	C	676	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 13	62	RE String Training (13, CAABBAD)	14	179949	CAABBAD	CAABBAD						CAABBAD	C	749	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 4	53	RE String Training (4, ADBDD)	5	181893	ADBDD	ADBDD						ADBDD	C	537	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 5	54	RE String Training (5, DADBA)	6	183373	DADBA	DADBA						DADBA	C	627	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 19	68	RE String Training (19, DAAADDBA)	20	187261	DAAADDBA	DAAADDBA						DAAADDBA	C	472	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 6	55	RE String Training (6, BDABD)	7	190005	BDABD	BDABD						BDABD	C	725	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 11	60	RE String Training (11, CBBAAD)	12	192781	CBBAAD	CBBAAD						CBBAAD	C	888	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 18	67	RE String Training (18, DCBBBAD)	19	195093	DCBBBAD	DCBBBAD						DCBBBAD	C	632	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 3	52	RE String Training (3, CBBBD)	4	197765	CBBBD	CBBBD						CBBBD	C	963	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 16	65	RE String Training (16, DDBDBAD)	17	200437	DDBDBAD	DDBDBAD						DDBDBAD	C	648	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 10	59	RE String Training (10, DDBDAD)	11	202285	DDBDAD	DDBDAD						DDBDAD	C	581	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 17	66	RE String Training (17, ACAAABD)	18	204725	ACAAABD	ACAAABD						ACAAABD	C	779	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 24	73	RE String Training (24, CAABABBD)	25	207533	CAABABBD	CAABABBD						CAABABBD	C	633	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 9	58	RE String Training (9, DBDBBD)	10	210885		DCDBBD						DBDBBD	E	921	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 9	58	RE String Training (9, DBDBBD)	10	213677	DBDBBD	DBDBBD						DBDBBD	SC	4137	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 23	72	RE String Training (23, ADDBDBAD)	24	215997	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	531	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 15	64	RE String Training (15, ADBDBAD)	16	219085	ADBDBAD	ADBDBAD						ADBDBAD	C	694	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 1	50	RE String Training (1, AADBA)	2	221229	AADBA	AADBA						AADBA	C	459	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 20	69	RE String Training (20, DDDAAABA)	21	224061	DDDAAABA	DDDAAABA						DDDAAABA	C	909	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 8	57	RE String Training (8, ADDDBA)	9	225573	ADDDBA	ADDDBA						ADDDBA	C	460	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training2, 2	51	RE String Training (2, CABAD)	3	227189	CABAD	CABAD						CABAD	C	711	
RE SCS	SCS 1	SCS 1	RE SCS	1	Middle Instruction	74	Middle Instruction	26	255332	space		 					space	C	28126	
RE SCS	SCS 1	SCS 1	RE SCS	1	Middle Instruction	74	Middle Instruction 2	27	278828	space		 					space	C	23474	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 16	90	RE Color Test (16, testRBYYBBY.jpg)	43	290292	1		1					1; 2; 3; 4	C	11438	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 15	89	RE Color Test (15, testRBRGB.jpg)	42	298572	4		4					1; 2; 3; 4	C	8267	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 10	84	RE Color Test (10, testBYGGYYB.jpg)	37	303412	4		4					1; 2; 3; 4	C	4824	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 24	98	RE Color Test (24, testYRGGBGB.jpg)	51	309883	1		1					1; 2; 3; 4	C	6462	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 17	91	RE Color Test (17, testRGYRRB.jpg)	44	314955	2		2					1; 2; 3; 4	C	5035	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 12	86	RE Color Test (12, testGBYRYY.jpg)	39	319588	3		3					1; 2; 3; 4	C	4617	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 18	92	RE Color Test (18, testRRGGB.jpg)	45	321899	4		4					1; 2; 3; 4	C	2295	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 3	77	RE Color Test (3, testBBRGYB.jpg)	30	327275	3		3					1; 2; 3; 4	C	5354	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 22	96	RE Color Test (22, testRYRGBB.jpg)	49	334123	1		1					1; 2; 3; 4	C	6835	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 19	93	RE Color Test (19, testRRGRRYGB.jpg)	46	341155	2		2					1; 2; 3; 4	C	7017	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 1	75	RE Color Test (1, testBBBBBRGB.jpg)	28	349011	3		3					1; 2; 3; 4	C	7840	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 11	85	RE Color Test (11, testGBRBRB.jpg)	38	352683	4		4					1; 2; 3; 4	C	3662	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 4	78	RE Color Test (4, testBGRRB.jpg)	31	363731	2		2					1; 2; 3; 4	C	11027	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 21	95	RE Color Test (21, testRYRBR.jpg)	48	365307	4		4					1; 2; 3; 4	C	1569	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 13	87	RE Color Test (13, testGYRYYYB.jpg)	40	368171	1		1					1; 2; 3; 4	C	2850	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 9	83	RE Color Test (9, testBYBRYRBR.jpg)	36	393979	1		1					1; 2; 3; 4	C	25792	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 8	82	RE Color Test (8, testBRGYRRYB.jpg)	35	398483	1		1					1; 2; 3; 4	C	4479	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 5	79	RE Color Test (5, testBGRRYRB.jpg)	32	405803	2		2					1; 2; 3; 4	C	7299	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 23	97	RE Color Test (23, testYRBGB.jpg)	50	418195	3		3					1; 2; 3; 4	C	12375	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 6	80	RE Color Test (6, testBGYRB.jpg)	33	421635	3		3					1; 2; 3; 4	C	3415	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 20	94	RE Color Test (20, testRRGRYRYB.jpg)	47	425434	2		2					1; 2; 3; 4	C	3664	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 7	81	RE Color Test (7, testBRGBRGBB.jpg)	34	433298	3		3					1; 2; 3; 4	C	7844	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 14	88	RE Color Test (14, testRBBRGB.jpg)	41	436074	1		1					1; 2; 3; 4	C	2754	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE Color Test, 2	76	RE Color Test (2, testBBRBRGB.jpg)	29	448266	2		2					1; 2; 3; 4	C	12179	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 21	119	RE String Test (21, ABADA)	72	452314	4		4					1; 2; 3; 4	C	4044	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 23	121	RE String Test (23, ADBBDDB)	74	458018	3		3					1; 2; 3; 4	C	5698	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 5	103	RE String Test (5, DCBAD)	56	464274	4		4					1; 2; 3; 4	C	6254	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 4	102	RE String Test (4, DDDDDACD)	55	468562	1		1					1; 2; 3; 4	C	4276	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 13	111	RE String Test (13, AACCD)	64	484026	3		3					1; 2; 3; 4	C	15456	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 15	113	RE String Test (15, BACCDCD)	66	489658	2		2					1; 2; 3; 4	C	5622	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 19	117	RE String Test (19, DBCCBBD)	70	498674	2		2					1; 2; 3; 4	C	8989	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 17	115	RE String Test (17, BADCD)	68	510370	2		2					1; 2; 3; 4	C	11684	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 2	100	RE String Test (2, DDACBD)	53	514426	2		2					1; 2; 3; 4	C	4040	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 24	122	RE String Test (24, DBDABADA)	75	520322	4		4					1; 2; 3; 4	C	5886	
