5
AGL Experiment
2/24/2017	2:25:28 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
CFG SCS	5	5	CFG SCS	1	CFG String Training, 9	10	CFG String Training (9, DCCBDA)	10	32485	DCCBDA	dccbda						DCCBDA	C	3001	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 14	15	CFG String Training (14, ABCCBBA)	15	36830	ABCCBBA	abccbba						ABCCBBA	C	1783	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 22	23	CFG String Training (22, ABDCCABA)	23	41573	ABDCCABA	abdccaba						ABDCCABA	C	922	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 11	12	CFG String Training (11, CCCBCB)	12	44917	CCCBCB	cccbcb						CCCBCB	C	1428	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 23	24	CFG String Training (23, DCDABDBB)	24	49453	DCDABDBB	dcdabdbb						DCDABDBB	C	1279	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 19	20	CFG String Training (19, ABADCABB)	20	53445	ABADCABB	abadcabb						ABADCABB	C	1169	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 18	19	CFG String Training (18, ADCAAAB)	19	66885	ADCAAAB	adcaaab						ADCAAAB	C	1065	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 1	2	CFG String Training (1, AACBB)	2	70229	AACBB	aacbb						AACBB	C	1135	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 15	16	CFG String Training (15, AADCCBB)	16	74269	AADCCBB	aadccbb						AADCCBB	C	1306	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 12	13	CFG String Training (12, CBBDBA)	13	77349	CBBDBA	cbbdba						CBBDBA	C	1112	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 20	21	CFG String Training (20, CADDACBB)	21	89021	CADDACBB	caddacbb						CADDACBB	C	1021	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	93397	BCADDABA	bcaddaba						BCADDABA	C	1442	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 7	8	CFG String Training (7, ACBDAB)	8	96741	ACBDAB	acbdab						ACBDAB	C	915	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 4	5	CFG String Training (4, DDACB)	5	102181	DDACB	ddacb						DDACB	C	3197	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 3	4	CFG String Training (3, CDABA)	4	106085	CDABA	cdaba						CDABA	C	1292	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 8	9	CFG String Training (8, ADADAB)	9	109933	ADADAB	adadab						ADADAB	C	1360	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 13	14	CFG String Training (13, BBDCDAB)	14	113845	BBDCDAB	bbdcdab						BBDCDAB	C	1094	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 21	22	CFG String Training (21, CDAADBBB)	22	117669	CDAADBBB	cdaadbbb						CDAADBBB	C	954	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 10	11	CFG String Training (10, BACAAB)	11	120789	BACAAB	bacaab						BACAAB	C	1240	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 2	3	CFG String Training (2, ABDAA)	3	123013	ABDAA	abdaa						ABDAA	C	763	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 17	18	CFG String Training (17, DCAADBB)	18	126149	DCAADBB	dcaadbb						DCAADBB	C	1059	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 6	7	CFG String Training (6, BDACD)	7	130989	BDACD	bdacd						BDACD	C	1205	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 5	6	CFG String Training (5, ACADD)	6	134053	ACADD	acadd						ACADD	C	1044	
CFG SCS	5	5	CFG SCS	1	CFG String Training, 16	17	CFG String Training (16, DCDDABA)	17	137069	DCDDABA	dcddaba						DCDDABA	C	1113	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 19	44	CFG String Training (19, ABADCABB)	20	140557	ABADCABB	abadcabb						ABADCABB	C	567	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 3	28	CFG String Training (3, CDABA)	4	143061	CDABA	cdaba						CDABA	C	1068	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 15	40	CFG String Training (15, AADCCBB)	16	145925	AADCCBB	aadccbb						AADCCBB	C	688	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 16	41	CFG String Training (16, DCDDABA)	17	148773	DCDDABA	dcddaba						DCDDABA	C	1085	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 8	33	CFG String Training (8, ADADAB)	9	151477	ADADAB	adadab						ADADAB	C	676	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 11	36	CFG String Training (11, CCCBCB)	12	155029	CCCBCB	cccbcb						CCCBCB	C	855	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 24	49	CFG String Training (24, BCADDABA)	25	158677	BCADDABA	bcaddaba						BCADDABA	C	1193	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 10	35	CFG String Training (10, BACAAB)	11	161445	BACAAB	bacaab						BACAAB	C	1000	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 18	43	CFG String Training (18, ADCAAAB)	19	163685	ADCAAAB	adcaaab						ADCAAAB	C	769	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 23	48	CFG String Training (23, DCDABDBB)	24	169429	DCDABDBB	dcdabdbb						DCDABDBB	C	1151	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 5	30	CFG String Training (5, ACADD)	6	171261	ACADD	acadd						ACADD	C	786	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 14	39	CFG String Training (14, ABCCBBA)	15	174589	ABCCBBA	abccbba						ABCCBBA	C	864	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 22	47	CFG String Training (22, ABDCCABA)	23	178797	ABDCCABA	abdccaba						ABDCCABA	C	731	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 7	32	CFG String Training (7, ACBDAB)	8	183381	ACBDAB	acbdab						ACBDAB	C	2979	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 1	26	CFG String Training (1, AACBB)	2	185397	AACBB	aacbb						AACBB	C	580	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 12	37	CFG String Training (12, CBBDBA)	13	187997	CBBDBA	cbbdba						CBBDBA	C	1091	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 17	42	CFG String Training (17, DCAADBB)	18	192861	DCAADBB	dcaadbb						DCAADBB	C	1403	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 6	31	CFG String Training (6, BDACD)	7	196949	BDACD	bdacd						BDACD	C	1488	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 4	29	CFG String Training (4, DDACB)	5	199021	DDACB	ddacb						DDACB	C	901	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 9	34	CFG String Training (9, DCCBDA)	10	202756	DCCBDA	dccbda						DCCBDA	C	874	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 13	38	CFG String Training (13, BBDCDAB)	14	206212	BBDCDAB	bbdcdab						BBDCDAB	C	1196	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 21	46	CFG String Training (21, CDAADBBB)	22	208852	CDAADBBB	cdaadbbb						CDAADBBB	C	762	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 2	27	CFG String Training (2, ABDAA)	3	210916	ABDAA	abdaa						ABDAA	C	728	
CFG SCS	5	5	CFG SCS	1	CFG String Training1, 20	45	CFG String Training (20, CADDACBB)	21	214605	CADDACBB	caddacbb						CADDACBB	C	983	
CFG SCS	5	5	CFG SCS	1	CFG String Training2, 9	58	CFG String Training (9, DCCBDA)	10	216964	DCCBDA	dccbda						DCCBDA	C	955	
CFG SCS	5	5	CFG SCS	1	CFG String Training2, 1	50	CFG String Training (1, AACBB)	2	220948	AACBB	aacbb						AACBB	C	565	
CFG SCS	5	5	CFG SCS	1	CFG String Training2, 18	67	CFG String Training (18, ADCAAAB)	19	223140	ADCAAAB	adcaaab						ADCAAAB	C	701	
CFG SCS	5	5	CFG SCS	1	CFG String Training2, 19	68	CFG String Training (19, ABADCABB)	20	226252	ABADCABB	abadcabb						ABADCABB	C	837	
