6
AGL Experiment
2/24/2017	4:21:45 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
CFG SCS	6	6	CFG SCS	1	CFG String Training, 20	21	CFG String Training (20, CADDACBB)	21	45981	CADDACBB	caddacbb						CADDACBB	C	3782	
CFG SCS	6	6	CFG SCS	1	CFG String Training, 23	24	CFG String Training (23, DCDABDBB)	24	52581	DCDABDBB	dcdabdbb						DCDABDBB	C	1915	
CFG SCS	6	6	CFG SCS	1	CFG String Training, 22	23	CFG String Training (22, ABDCCABA)	23	57301	ABDCCABA	abdccaba						ABDCCABA	C	1418	
CFG SCS	6	6	CFG SCS	1	CFG String Training, 8	9	CFG String Training (8, ADADAB)	9	60445	ADADAB	adadab						ADADAB	C	1277	
CFG SCS	6	6	CFG SCS	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	64011	BCADDABA	bcaddaba						BCADDABA	C	1375	
CFG SCS	6	6	CFG SCS	1	CFG String Training, 18	19	CFG String Training (18, ADCAAAB)	19	66659	ADCAAAB	adcaaab						ADCAAAB	C	689	
CFG SCS	6	6	CFG SCS	1	CFG String Training, 11	12	CFG String Training (11, CCCBCB)	12	69307	CCCBCB	cccbcb						CCCBCB	C	751	
CFG SCS	6	6	CFG SCS	1	CFG String Training, 10	11	CFG String Training (10, BACAAB)	11	71795	BACAAB	bacaab						BACAAB	C	725	
CFG SCS	6	6	CFG SCS	1	CFG String Training, 12	13	CFG String Training (12, CBBDBA)	13	75139		cbbdca						CBBDBA	E	609	
CFG SCS	6	6	CFG SCS	1	CFG String Training, 12	13	CFG String Training (12, CBBDBA)	13	78523	CBBDBA	cbbdba						CBBDBA	SC	4481	
