4
AGL Experiment
2/24/2017	1:51:46 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
CFG SCS	4	4	CFG SCS	1	CFG String Training, 5	6	CFG String Training (5, ACADD)	6	27234	ACADD	acadd						ACADD	C	2006	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 22	23	CFG String Training (22, ABDCCABA)	23	34049	ABDCCABA	abdccaba						ABDCCABA	C	1527	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 18	19	CFG String Training (18, ADCAAAB)	19	38545	ADCAAAB	adcaaab						ADCAAAB	C	1343	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 2	3	CFG String Training (2, ABDAA)	3	41817	ABDAA	abdaa						ABDAA	C	1147	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 21	22	CFG String Training (21, CDAADBBB)	22	50513	CDAADBBB	cdaadbbb						CDAADBBB	C	1608	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 11	12	CFG String Training (11, CCCBCB)	12	54065	CCCBCB	cccbcb						CCCBCB	C	1308	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 9	10	CFG String Training (9, DCCBDA)	10	61065	DCCBDA	dccbda						DCCBDA	C	1454	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 12	13	CFG String Training (12, CBBDBA)	13	68265	CBBDBA	cbbdba						CBBDBA	C	1310	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 23	24	CFG String Training (23, DCDABDBB)	24	78769	DCDABDBB	dcdabdbb						DCDABDBB	C	1374	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 17	18	CFG String Training (17, DCAADBB)	18	83863	DCAADBB	dcaadbb						DCAADBB	C	1401	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 3	4	CFG String Training (3, CDABA)	4	87247	CDABA	cdaba						CDABA	C	1589	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 6	7	CFG String Training (6, BDACD)	7	90079	BDACD	bdacd						BDACD	C	1558	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 4	5	CFG String Training (4, DDACB)	5	93151	DDACB	ddacb						DDACB	C	1085	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 16	17	CFG String Training (16, DCDDABA)	17	96023	DCDDABA	dcddaba						DCDDABA	C	1275	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 10	11	CFG String Training (10, BACAAB)	11	98543	BACAAB	bacaab						BACAAB	C	959	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 1	2	CFG String Training (1, AACBB)	2	100639	AACBB	aacbb						AACBB	C	658	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	106439	BCADDABA	bcaddaba						BCADDABA	C	1430	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 19	20	CFG String Training (19, ABADCABB)	20	115607	ABADCABB	abadcabb						ABADCABB	C	1542	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 15	16	CFG String Training (15, AADCCBB)	16	120911	AADCCBB	aadccbb						AADCCBB	C	887	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 7	8	CFG String Training (7, ACBDAB)	8	126439	ACBDAB	acbdab						ACBDAB	C	1891	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 20	21	CFG String Training (20, CADDACBB)	21	129927	CADDACBB	caddacbb						CADDACBB	C	1319	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 13	14	CFG String Training (13, BBDCDAB)	14	132927	BBDCDAB	bbdcdab						BBDCDAB	C	1099	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 14	15	CFG String Training (14, ABCCBBA)	15	137559	ABCCBBA	abccbba						ABCCBBA	C	1987	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 8	9	CFG String Training (8, ADADAB)	9	141847	ADADAB	adadab						ADADAB	C	1162	
CFG SCS	4	4	CFG SCS	1	CFG String Training1, 6	31	CFG String Training (6, BDACD)	7	144063	BDACD	bdacd						BDACD	C	1150	
CFG SCS	4	4	CFG SCS	1	CFG String Training1, 5	30	CFG String Training (5, ACADD)	6	146383	ACADD	acadd						ACADD	C	918	
CFG SCS	4	4	CFG SCS	1	CFG String Training1, 20	45	CFG String Training (20, CADDACBB)	21	150199	CADDACBB	caddacbb						CADDACBB	C	1073	
CFG SCS	4	4	CFG SCS	1	CFG String Training1, 17	42	CFG String Training (17, DCAADBB)	18	154919	DCAADBB	dcaadbb						DCAADBB	C	1184	
