4
AGL Experiment
12/2/2016	4:50:08 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
CFG SCS	4	4	CFG SCS	1	CFG String Training, 13	14	CFG String Training (13, BBDCDAB)	14	61946	BBDCDAB	BBDCDAB						BBDCDAB	C	3867	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 9	10	CFG String Training (9, DCCBDA)	10	67672	DCCBDA	DCCBDA						DCCBDA	C	1988	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 2	3	CFG String Training (2, ABDAA)	3	71368	ABDAA	ABDAA						ABDAA	C	2079	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 23	24	CFG String Training (23, DCDABDBB)	24	75191	DCDABDBB	DCDABDBB						DCDABDBB	C	1275	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 8	9	CFG String Training (8, ADADAB)	9	78071	ADADAB	ADADAB						ADADAB	C	754	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	81535	BCADDABA	BCADDABA						BCADDABA	C	1103	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 18	19	CFG String Training (18, ADCAAAB)	19	84023	ADCAAAB	ADCAAAB						ADCAAAB	C	700	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 14	15	CFG String Training (14, ABCCBBA)	15	86847	ABCCBBA	ABCCBBA						ABCCBBA	C	865	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 21	22	CFG String Training (21, CDAADBBB)	22	91231	CDAADBBB	CDAADBBB						CDAADBBB	C	1303	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 10	11	CFG String Training (10, BACAAB)	11	95311	BACAAB	BACAAB						BACAAB	C	800	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 16	17	CFG String Training (16, DCDDABA)	17	98615	DCDDABA	DCDDABA						DCDDABA	C	1054	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 7	8	CFG String Training (7, ACBDAB)	8	103759	ACBDAB	ACBDAB						ACBDAB	C	1097	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 4	5	CFG String Training (4, DDACB)	5	107751	DDACB	DDACB						DDACB	C	940	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 3	4	CFG String Training (3, CDABA)	4	110719	CDABA	CDABA						CDABA	C	1212	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 17	18	CFG String Training (17, DCAADBB)	18	113647	DCAADBB	DCAADBB						DCAADBB	C	1037	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 1	2	CFG String Training (1, AACBB)	2	115951	AACBB	AACBB						AACBB	C	575	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 22	23	CFG String Training (22, ABDCCABA)	23	118751	ABDCCABA	ABDCCABA						ABDCCABA	C	947	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 19	20	CFG String Training (19, ABADCABB)	20	121535	ABADCABB	ABADCABB						ABADCABB	C	939	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 12	13	CFG String Training (12, CBBDBA)	13	124367	CBBDBA	CBBDBA						CBBDBA	C	1259	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 6	7	CFG String Training (6, BDACD)	7	126919		DBACD						BDACD	E	1074	
CFG SCS	4	4	CFG SCS	1	CFG String Training, 6	7	CFG String Training (6, BDACD)	7	131671	BDACD	BDACD						BDACD	SC	5146	
