"pid";"grammar";"s_type";"stimulus";"response";"reaction_time";"cs";"grammatical";"accuracy"
7;1;2;2;1;3913;1;1;0
7;1;2;3;2;1886;1;1;0
7;1;2;4;3;3365;1;1;1
7;1;2;5;2;1206;2;1;0
7;1;2;6;4;3881;2;1;1
7;1;2;7;3;4892;2;1;1
7;1;2;8;2;3587;2;1;0
7;1;2;9;1;4436;3;1;0
7;1;2;10;3;4415;3;1;1
7;1;2;11;4;1599;3;1;1
7;1;2;12;2;2835;3;1;0
7;1;2;13;3;4125;1;0;0
7;1;2;14;1;2770;1;0;1
7;1;2;15;3;2997;1;0;0
7;1;2;16;4;3123;1;0;0
7;1;2;17;3;4389;2;0;0
7;1;2;18;4;4464;2;0;0
7;1;2;19;3;2629;2;0;0
7;1;2;20;4;2757;2;0;0
7;1;2;21;4;2741;3;0;0
7;1;2;22;3;11573;3;0;0
7;1;2;23;2;1446;3;0;1
7;1;2;24;2;2854;3;0;1
8;1;2;1;1;1318;1;1;0
8;1;2;2;2;2633;1;1;0
8;1;2;3;2;1948;1;1;0
8;1;2;4;1;2552;1;1;0
8;1;2;5;2;3170;2;1;0
8;1;2;6;1;1283;2;1;0
8;1;2;7;1;2171;2;1;0
8;1;2;8;3;10270;2;1;1
8;1;2;9;3;6848;3;1;1
8;1;2;10;1;1877;3;1;0
8;1;2;11;2;1878;3;1;0
8;1;2;12;1;2246;3;1;0
8;1;2;13;1;2332;1;0;1
8;1;2;14;1;1247;1;0;1
8;1;2;15;2;1272;1;0;1
8;1;2;16;2;2497;1;0;1
8;1;2;17;3;2148;2;0;0
8;1;2;18;1;1465;2;0;1
8;1;2;19;1;7098;2;0;1
8;1;2;20;3;2243;2;0;0
8;1;2;21;2;2621;3;0;1
8;1;2;22;3;2626;3;0;0
8;1;2;23;3;2125;3;0;0
8;1;2;24;2;3933;3;0;1
9;1;2;1;1;1814;1;1;0
9;1;2;2;1;3648;1;1;0
9;1;2;3;2;2640;1;1;0
9;1;2;4;1;2306;1;1;0
9;1;2;5;1;1763;2;1;0
9;1;2;6;1;4212;2;1;0
9;1;2;7;2;2160;2;1;0
9;1;2;8;1;3678;2;1;0
9;1;2;9;3;4232;3;1;1
9;1;2;10;2;2708;3;1;0
9;1;2;11;2;1349;3;1;0
9;1;2;12;1;4061;3;1;0
9;1;2;13;2;497;1;0;1
9;1;2;14;1;518;1;0;1
9;1;2;15;1;3165;1;0;1
9;1;2;16;1;1275;1;0;1
9;1;2;17;2;777;2;0;1
9;1;2;18;2;2758;2;0;1
9;1;2;19;1;1370;2;0;1
9;1;2;20;1;536;2;0;1
9;1;2;21;4;2836;3;0;0
9;1;2;22;4;1114;3;0;0
9;1;2;23;2;755;3;0;1
9;1;2;24;2;6364;3;0;1
10;1;2;1;1;1538;1;1;0
10;1;2;2;2;735;1;1;0
10;1;2;3;3;4032;1;1;1
10;1;2;4;3;1495;1;1;1
10;1;2;5;3;1036;2;1;1
10;1;2;6;2;1591;2;1;0
10;1;2;7;1;1929;2;1;0
10;1;2;8;2;1405;2;1;0
10;1;2;9;3;2682;3;1;1
10;1;2;10;2;5323;3;1;0
10;1;2;11;2;1331;3;1;0
10;1;2;12;3;5371;3;1;1
10;1;2;13;3;2004;1;0;0
10;1;2;14;3;2027;1;0;0
10;1;2;15;2;1790;1;0;1
10;1;2;16;3;1233;1;0;0
10;1;2;17;3;3302;2;0;0
10;1;2;18;1;1645;2;0;1
10;1;2;19;3;1452;2;0;0
10;1;2;20;3;2136;2;0;0
10;1;2;21;2;2438;3;0;1
10;1;2;22;3;1759;3;0;0
10;1;2;23;1;2165;3;0;1
10;1;2;24;3;1055;3;0;0
11;1;2;1;4;2663;1;1;1
11;1;2;2;3;2320;1;1;1
11;1;2;3;4;7533;1;1;1
11;1;2;4;2;3471;1;1;0
11;1;2;5;2;8555;2;1;0
11;1;2;6;4;2670;2;1;1
11;1;2;7;4;1693;2;1;1
11;1;2;8;4;4047;2;1;1
11;1;2;9;1;2749;3;1;0
11;1;2;10;3;2389;3;1;1
11;1;2;11;2;2843;3;1;0
11;1;2;12;4;1953;3;1;1
11;1;2;13;4;3644;1;0;0
11;1;2;14;1;15619;1;0;1
11;1;2;15;1;6187;1;0;1
11;1;2;16;4;12043;1;0;0
11;1;2;17;2;7926;2;0;1
11;1;2;18;1;3950;2;0;1
11;1;2;19;2;3916;2;0;1
11;1;2;20;1;8886;2;0;1
11;1;2;21;4;4306;3;0;0
11;1;2;22;3;5114;3;0;0
11;1;2;23;1;1363;3;0;1
11;1;2;24;3;2264;3;0;0
12;1;2;1;1;3552;1;1;0
12;1;2;2;3;1559;1;1;1
12;1;2;3;2;4507;1;1;0
12;1;2;4;2;2647;1;1;0
12;1;2;5;3;1709;2;1;1
12;1;2;6;2;1657;2;1;0
12;1;2;7;3;1983;2;1;1
12;1;2;8;3;1357;2;1;1
12;1;2;9;2;3199;3;1;0
12;1;2;10;3;3840;3;1;1
12;1;2;11;1;5389;3;1;0
12;1;2;12;3;1600;3;1;1
12;1;2;13;4;4329;1;0;0
12;1;2;14;3;2206;1;0;0
12;1;2;15;3;3836;1;0;0
12;1;2;16;2;8674;1;0;1
12;1;2;17;3;1376;2;0;0
12;1;2;18;1;3525;2;0;1
12;1;2;19;3;4687;2;0;0
12;1;2;20;3;3811;2;0;0
12;1;2;21;2;3259;3;0;1
12;1;2;22;2;3664;3;0;1
12;1;2;23;1;1706;3;0;1
12;1;2;24;2;2493;3;0;1
