"pid";"grammar";"s_type";"HR";"Z(HR)";"FA";"Z(FA)";"Z(HR)-Z(FA)"
1;1;2;0.583333333333;0.628767713237;0.333333333333;-0.727014795204;1.35578250844
2;1;2;0.416666666667;-0.258904352509;0.666666666667;1.1096541611;-1.36855851361
3;1;2;0.5;0.184931680364;0.25;-1.18618203428;1.37111371464
4;1;2;0.75;1.51643977898;0.666666666667;1.1096541611;0.406785617883
5;1;2;0.416666666667;-0.258904352509;0.333333333333;-0.727014795204;0.468110442694
6;1;2;0.666666666667;1.07260374611;0.5;0.191319682948;0.881284063162
7;1;2;0.416666666667;-0.258904352509;0.75;1.56882140018;-1.82772575269
8;1;2;0.166666666667;-1.59041245113;0.333333333333;-0.727014795204;-0.863397655925
9;1;2;0.0833333333333;-2.034248484;0.166666666667;-1.64534927336;-0.388899210646
10;1;2;0.416666666667;-0.258904352509;0.666666666667;1.1096541611;-1.36855851361
11;1;2;0.666666666667;1.07260374611;0.416666666667;-0.267847556128;1.34045130224
12;1;2;0.5;0.184931680364;0.5;0.191319682948;-0.00638800258452
1;2;2;0.25;-0.6;0.0833333333333;-1.59922547625;0.999225476252
2;2;2;0.333333333333;-0.2;0.333333333333;0.0940720868384;-0.294072086838
3;2;2;0.5;0.6;0.25;-0.470360434192;1.07036043419
4;2;2;0.75;1.8;0.5;1.2229371289;0.577062871101
5;2;2;0.333333333333;-0.2;0.5;1.2229371289;-1.4229371289
6;2;2;0.0833333333333;-1.4;0.25;-0.470360434192;-0.929639565808
1;3;2;0.416666666667;-0.359425378724;0.5;0.0556414884075;-0.415066867131
2;3;2;0.166666666667;-1.79712689362;0.5;0.0556414884075;-1.85276838203
3;3;2;0.333333333333;-0.838659217022;0.5;0.0556414884075;-0.89430070543
4;3;2;0.333333333333;-0.838659217022;0.416666666667;-0.612056372482;-0.22660284454
5;3;2;0.25;-1.31789305532;0.25;-1.94745209426;0.62955903894
6;3;2;0.666666666667;1.07827613617;0.583333333333;0.723339349297;0.354936786875
7;3;2;0.666666666667;1.07827613617;0.583333333333;0.723339349297;0.354936786875
8;3;2;0.5;0.119808459575;0.25;-1.94745209426;2.06726055384
9;3;2;0.75;1.55750997447;0.5;0.0556414884075;1.50186848606
10;3;2;0.583333333333;0.599042297873;0.583333333333;0.723339349297;-0.124297051424
11;3;2;0.583333333333;0.599042297873;0.583333333333;0.723339349297;-0.124297051424
12;3;2;0.5;0.119808459575;0.666666666667;1.39103721019;-1.27122875061
1;4;2;0.416666666667;0.0492067831305;0.5;0.658504607869;-0.609297824738
2;4;2;0.833333333333;1.52541027705;0.583333333333;1.2229371289;0.302473148147
3;4;2;0.0;-1.42699671078;0.166666666667;-1.59922547625;0.172228765467
4;4;2;0.166666666667;-0.836515313219;0.25;-1.03479295522;0.198277642003
5;4;2;0.666666666667;0.93492887948;0.416666666667;0.0940720868384;0.840856792641
6;4;2;0.333333333333;-0.246033915653;0.5;0.658504607869;-0.904538523521
