"pid";"grammar";"s_type";"stimulus";"response";"reaction_time";"cs";"grammatical";"accuracy"
7;1;1;2;1;11473;1;1;0
7;1;1;3;1;6403;1;1;0
7;1;1;4;3;7482;1;1;1
7;1;1;5;1;2447;2;1;0
7;1;1;6;2;2344;2;1;0
7;1;1;7;2;3295;2;1;0
7;1;1;8;2;2461;2;1;0
7;1;1;9;2;1341;3;1;0
7;1;1;10;1;1658;3;1;0
7;1;1;11;1;1367;3;1;0
7;1;1;12;4;5812;3;1;1
7;1;1;13;2;7828;1;0;1
7;1;1;14;1;9386;1;0;1
7;1;1;15;2;2023;1;0;1
7;1;1;16;1;3794;1;0;1
7;1;1;17;3;2394;2;0;0
7;1;1;18;3;2540;2;0;0
7;1;1;19;4;2954;2;0;0
7;1;1;20;2;3850;2;0;1
7;1;1;21;4;1194;3;0;0
7;1;1;22;1;8270;3;0;1
7;1;1;23;2;5199;3;0;1
7;1;1;24;2;6826;3;0;1
8;1;1;1;3;5039;1;1;1
8;1;1;2;2;1027;1;1;0
8;1;1;3;3;4800;1;1;1
8;1;1;4;2;1711;1;1;0
8;1;1;5;4;16488;2;1;1
8;1;1;6;2;2708;2;1;0
8;1;1;7;4;1751;2;1;1
8;1;1;8;3;2178;2;1;1
8;1;1;9;3;7074;3;1;1
8;1;1;10;2;1673;3;1;0
8;1;1;11;2;1407;3;1;0
8;1;1;12;3;6577;3;1;1
8;1;1;13;2;1816;1;0;1
8;1;1;14;3;1920;1;0;0
8;1;1;15;4;3932;1;0;0
8;1;1;16;2;2750;1;0;1
8;1;1;17;3;7474;2;0;0
8;1;1;18;4;5518;2;0;0
8;1;1;19;2;3282;2;0;1
8;1;1;20;2;1467;2;0;1
8;1;1;21;4;1769;3;0;0
8;1;1;22;4;1460;3;0;0
8;1;1;23;4;1687;3;0;0
8;1;1;24;4;1663;3;0;0
9;1;1;1;4;2715;1;1;1
9;1;1;2;4;3709;1;1;1
9;1;1;3;3;2559;1;1;1
9;1;1;4;1;1300;1;1;0
9;1;1;5;4;2029;2;1;1
9;1;1;6;4;5920;2;1;1
9;1;1;7;4;2426;2;1;1
9;1;1;8;3;1265;2;1;1
9;1;1;9;4;1411;3;1;1
9;1;1;10;4;4367;3;1;1
9;1;1;11;4;2064;3;1;1
9;1;1;12;4;3413;3;1;1
9;1;1;13;4;4639;1;0;0
9;1;1;14;1;5349;1;0;1
9;1;1;15;2;3351;1;0;1
9;1;1;16;3;8958;1;0;0
9;1;1;17;4;1024;2;0;0
9;1;1;18;1;8399;2;0;1
9;1;1;19;3;3648;2;0;0
9;1;1;20;4;5749;2;0;0
9;1;1;21;2;7607;3;0;1
9;1;1;22;3;2867;3;0;0
9;1;1;23;3;1888;3;0;0
9;1;1;24;1;1680;3;0;1
10;1;1;1;2;4653;1;1;0
10;1;1;2;3;4134;1;1;1
10;1;1;3;3;1365;1;1;1
10;1;1;4;1;1778;1;1;0
10;1;1;5;2;1227;2;1;0
10;1;1;6;3;3980;2;1;1
10;1;1;7;3;2064;2;1;1
10;1;1;8;1;1921;2;1;0
10;1;1;9;3;1869;3;1;1
10;1;1;10;2;4733;3;1;0
10;1;1;11;3;1128;3;1;1
10;1;1;12;3;2236;3;1;1
10;1;1;13;3;2085;1;0;0
10;1;1;14;3;2897;1;0;0
10;1;1;15;2;2014;1;0;1
10;1;1;16;2;3854;1;0;1
10;1;1;17;3;3022;2;0;0
10;1;1;18;2;2067;2;0;1
10;1;1;19;3;2125;2;0;0
10;1;1;20;3;1193;2;0;0
10;1;1;21;1;1489;3;0;1
10;1;1;22;3;4618;3;0;0
10;1;1;23;4;1889;3;0;0
10;1;1;24;4;1608;3;0;0
11;1;1;1;3;2350;1;1;1
11;1;1;2;3;6901;1;1;1
11;1;1;3;4;3554;1;1;1
11;1;1;4;4;1742;1;1;1
11;1;1;5;4;8948;2;1;1
11;1;1;6;2;2600;2;1;0
11;1;1;7;1;4290;2;1;0
11;1;1;8;3;3592;2;1;1
11;1;1;9;2;2323;3;1;0
