"pid";"grammar";"s_type";"stimulus";"response";"reaction_time";"cs";"grammatical";"accuracy"
7;2;2;2;3;4141;1;1;1
7;2;2;3;3;1419;1;1;1
7;2;2;4;3;7884;1;1;1
7;2;2;5;1;2839;2;1;0
7;2;2;6;2;5770;2;1;0
7;2;2;7;2;5411;2;1;0
7;2;2;8;3;3701;2;1;1
7;2;2;9;3;9252;3;1;1
7;2;2;10;3;5194;3;1;1
7;2;2;11;3;1904;3;1;1
7;2;2;12;3;5498;3;1;1
7;2;2;13;3;3053;1;0;0
7;2;2;14;3;1314;1;0;0
7;2;2;15;1;4829;1;0;1
7;2;2;16;2;2681;1;0;1
7;2;2;17;4;2698;2;0;0
7;2;2;18;3;1937;2;0;0
7;2;2;19;3;9611;2;0;0
7;2;2;20;4;6087;2;0;0
7;2;2;21;2;1120;3;0;1
7;2;2;22;1;1930;3;0;1
7;2;2;23;2;2956;3;0;1
7;2;2;24;3;4061;3;0;0
8;2;2;1;3;2516;1;1;1
8;2;2;2;3;3655;1;1;1
8;2;2;3;1;3900;1;1;0
8;2;2;4;2;5651;1;1;0
8;2;2;5;2;5087;2;1;0
8;2;2;6;3;3134;2;1;1
8;2;2;7;3;3613;2;1;1
8;2;2;8;4;1734;2;1;1
8;2;2;9;1;5043;3;1;0
8;2;2;10;4;3687;3;1;1
8;2;2;11;1;2513;3;1;0
8;2;2;12;2;3271;3;1;0
8;2;2;13;1;7800;1;0;1
8;2;2;14;3;12225;1;0;0
8;2;2;15;2;2820;1;0;1
8;2;2;16;1;1322;1;0;1
8;2;2;17;2;2912;2;0;1
8;2;2;18;3;2730;2;0;0
8;2;2;19;4;1424;2;0;0
8;2;2;20;1;4260;2;0;1
8;2;2;21;2;7481;3;0;1
8;2;2;22;2;3319;3;0;1
8;2;2;23;1;1898;3;0;1
8;2;2;24;2;7099;3;0;1
9;2;2;1;4;630;1;1;1
9;2;2;2;4;1386;1;1;1
9;2;2;3;4;1286;1;1;1
9;2;2;4;4;1081;1;1;1
9;2;2;5;4;1913;2;1;1
9;2;2;6;4;916;2;1;1
9;2;2;7;1;890;2;1;0
9;2;2;8;1;2723;2;1;0
9;2;2;9;1;1072;3;1;0
9;2;2;10;4;5151;3;1;1
9;2;2;11;4;830;3;1;1
9;2;2;12;4;3890;3;1;1
9;2;2;13;4;1126;1;0;0
9;2;2;14;4;807;1;0;0
9;2;2;15;1;750;1;0;1
9;2;2;16;1;1035;1;0;1
9;2;2;17;4;1116;2;0;0
9;2;2;18;1;649;2;0;1
9;2;2;19;4;1359;2;0;0
9;2;2;20;4;3167;2;0;0
9;2;2;21;1;743;3;0;1
9;2;2;22;1;1325;3;0;1
9;2;2;23;4;2766;3;0;0
9;2;2;24;1;662;3;0;1
10;2;2;1;2;1513;1;1;0
10;2;2;2;2;1717;1;1;0
10;2;2;3;2;6471;1;1;0
10;2;2;4;3;2150;1;1;1
10;2;2;5;3;17199;2;1;1
10;2;2;6;2;4760;2;1;0
10;2;2;7;3;1281;2;1;1
10;2;2;8;2;11547;2;1;0
10;2;2;9;3;14401;3;1;1
10;2;2;10;3;3659;3;1;1
10;2;2;11;3;2301;3;1;1
10;2;2;12;3;2080;3;1;1
10;2;2;13;3;1861;1;0;0
10;2;2;14;2;3212;1;0;1
10;2;2;15;2;1696;1;0;1
10;2;2;16;3;4881;1;0;0
10;2;2;17;3;3116;2;0;0
10;2;2;18;3;5744;2;0;0
10;2;2;19;2;2300;2;0;1
10;2;2;20;3;2105;2;0;0
10;2;2;21;2;1477;3;0;1
10;2;2;22;3;3776;3;0;0
10;2;2;23;3;3388;3;0;0
10;2;2;24;2;2384;3;0;1
11;2;2;1;3;2153;1;1;1
11;2;2;2;3;2819;1;1;1
11;2;2;3;2;3792;1;1;0
11;2;2;4;3;1873;1;1;1
11;2;2;5;1;3252;2;1;0
11;2;2;6;2;3695;2;1;0
11;2;2;7;3;1737;2;1;1
