"pid";"grammar";"s_type";"stimulus";"response";"reaction_time";"cs";"grammatical";"accuracy"
7;2;1;2;4;2979;1;1;1
7;2;1;3;3;9844;1;1;1
7;2;1;4;2;4639;1;1;0
7;2;1;5;3;4507;2;1;1
7;2;1;6;3;5159;2;1;1
7;2;1;7;2;2530;2;1;0
7;2;1;8;4;2448;2;1;1
7;2;1;9;1;5170;3;1;0
7;2;1;10;4;3200;3;1;1
7;2;1;11;1;4541;3;1;0
7;2;1;12;4;1827;3;1;1
7;2;1;13;1;5174;1;0;1
7;2;1;14;3;5555;1;0;0
7;2;1;15;3;2791;1;0;0
7;2;1;16;3;6439;1;0;0
7;2;1;17;3;2701;2;0;0
7;2;1;18;3;5580;2;0;0
7;2;1;19;3;6406;2;0;0
7;2;1;20;3;5875;2;0;0
7;2;1;21;2;2294;3;0;1
7;2;1;22;3;9478;3;0;0
7;2;1;23;2;4799;3;0;1
7;2;1;24;2;7046;3;0;1
8;2;1;1;3;1789;1;1;1
8;2;1;2;2;3900;1;1;0
8;2;1;3;2;2228;1;1;0
8;2;1;4;1;4379;1;1;0
8;2;1;5;1;4819;2;1;0
8;2;1;6;2;2949;2;1;0
8;2;1;7;4;2280;2;1;1
8;2;1;8;1;2709;2;1;0
8;2;1;9;1;5802;3;1;0
8;2;1;10;4;4527;3;1;1
8;2;1;11;1;2548;3;1;0
8;2;1;12;3;2761;3;1;1
8;2;1;13;2;2207;1;0;1
8;2;1;14;3;1595;1;0;0
8;2;1;15;1;2010;1;0;1
8;2;1;16;3;2070;1;0;0
8;2;1;17;1;2329;2;0;1
8;2;1;18;2;3553;2;0;1
8;2;1;19;2;1218;2;0;1
8;2;1;20;3;2962;2;0;0
8;2;1;21;2;1272;3;0;1
8;2;1;22;2;3996;3;0;1
8;2;1;23;3;3697;3;0;0
8;2;1;24;4;931;3;0;0
9;2;1;1;4;6265;1;1;1
9;2;1;2;1;6950;1;1;0
9;2;1;3;1;1995;1;1;0
9;2;1;4;1;1235;1;1;0
9;2;1;5;2;6596;2;1;0
9;2;1;6;1;2161;2;1;0
9;2;1;7;4;1417;2;1;1
9;2;1;8;4;2033;2;1;1
9;2;1;9;4;3210;3;1;1
9;2;1;10;4;1511;3;1;1
9;2;1;11;1;3954;3;1;0
9;2;1;12;4;5835;3;1;1
9;2;1;13;1;1995;1;0;1
9;2;1;14;4;3340;1;0;0
9;2;1;15;1;1155;1;0;1
9;2;1;16;3;6212;1;0;0
9;2;1;17;1;1312;2;0;1
9;2;1;18;2;5245;2;0;1
9;2;1;19;4;1539;2;0;0
9;2;1;20;1;8035;2;0;1
9;2;1;21;1;1120;3;0;1
9;2;1;22;4;5029;3;0;0
9;2;1;23;4;1370;3;0;0
9;2;1;24;3;7261;3;0;0
10;2;1;1;3;3513;1;1;1
10;2;1;2;2;3791;1;1;0
10;2;1;3;3;3872;1;1;1
10;2;1;4;3;3666;1;1;1
10;2;1;5;2;3259;2;1;0
10;2;1;6;4;3743;2;1;1
10;2;1;7;2;6923;2;1;0
10;2;1;8;3;4246;2;1;1
10;2;1;9;3;2207;3;1;1
10;2;1;10;2;2878;3;1;0
10;2;1;11;2;8503;3;1;0
10;2;1;12;2;3579;3;1;0
10;2;1;13;3;2211;1;0;0
10;2;1;14;3;2256;1;0;0
10;2;1;15;3;3644;1;0;0
10;2;1;16;2;3162;1;0;1
10;2;1;17;3;2771;2;0;0
10;2;1;18;2;1793;2;0;1
10;2;1;19;3;2459;2;0;0
10;2;1;20;2;3978;2;0;1
10;2;1;21;3;1366;3;0;0
10;2;1;22;3;4020;3;0;0
10;2;1;23;2;4324;3;0;1
10;2;1;24;2;3794;3;0;1
11;2;1;1;1;1629;1;1;0
11;2;1;2;3;2132;1;1;1
11;2;1;3;3;5177;1;1;1
11;2;1;4;1;2435;1;1;0
11;2;1;5;4;3047;2;1;1
11;2;1;6;4;2155;2;1;1
11;2;1;7;1;6549;2;1;0
11;2;1;8;1;3731;2;1;0
11;2;1;9;1;3221;3;1;0
