"pid";"grammar";"s_type";"HR";"Z(HR)";"FA";"Z(FA)";"Z(HR)-Z(FA)"
1;1;1;0.166666666667;-1.42899153487;0.416666666667;-0.75793672896;-0.671054805908
2;1;1;0.75;0.793884186037;0.583333333333;0.25264557632;0.541238609717
3;1;1;0.666666666667;0.476330511622;0.416666666667;-0.75793672896;1.23426724058
4;1;1;0.833333333333;1.11143786045;0.75;1.2632278816;-0.151790021147
5;1;1;0.0833333333333;-1.74654520928;0.166666666667;-2.27381018688;0.527264977597
6;1;1;0.416666666667;-0.476330511622;0.666666666667;0.75793672896;-1.23426724058
7;1;1;0.166666666667;-1.42899153487;0.333333333333;-1.2632278816;-0.165763653268
8;1;1;0.583333333333;0.158776837207;0.666666666667;0.75793672896;-0.599159891752
9;1;1;0.916666666667;1.42899153487;0.583333333333;0.25264557632;1.17634595855
10;1;1;0.583333333333;0.158776837207;0.666666666667;0.75793672896;-0.599159891752
11;1;1;0.666666666667;0.476330511622;0.583333333333;0.25264557632;0.223684935303
12;1;1;0.666666666667;0.476330511622;0.666666666667;0.75793672896;-0.281606217337
1;1;2;0.583333333333;0.628767713237;0.333333333333;-0.727014795204;1.35578250844
2;1;2;0.416666666667;-0.258904352509;0.666666666667;1.1096541611;-1.36855851361
3;1;2;0.5;0.184931680364;0.25;-1.18618203428;1.37111371464
4;1;2;0.75;1.51643977898;0.666666666667;1.1096541611;0.406785617883
5;1;2;0.416666666667;-0.258904352509;0.333333333333;-0.727014795204;0.468110442694
6;1;2;0.666666666667;1.07260374611;0.5;0.191319682948;0.881284063162
7;1;2;0.416666666667;-0.258904352509;0.75;1.56882140018;-1.82772575269
8;1;2;0.166666666667;-1.59041245113;0.333333333333;-0.727014795204;-0.863397655925
9;1;2;0.0833333333333;-2.034248484;0.166666666667;-1.64534927336;-0.388899210646
10;1;2;0.416666666667;-0.258904352509;0.666666666667;1.1096541611;-1.36855851361
11;1;2;0.666666666667;1.07260374611;0.416666666667;-0.267847556128;1.34045130224
12;1;2;0.5;0.184931680364;0.5;0.191319682948;-0.00638800258452
