"pid";"grammar";"s_type";"HR";"Z(HR)";"FA";"Z(FA)";"Z(HR)-Z(FA)"
1;4;1;0.5;0.334855411264;0.666666666667;1.45344418537;-1.11858877411
2;4;1;0.833333333333;1.48293110703;0.333333333333;0.111803398875;1.37112770815
3;4;1;0.0;-1.38725813238;0.0;-1.22983738762;-0.157420744756
4;4;1;0.25;-0.526201360558;0.0833333333333;-0.894427191;0.368225830441
5;4;1;0.666666666667;0.908893259146;0.583333333333;1.11803398875;-0.209140729604
6;4;1;0.166666666667;-0.813220284499;0.166666666667;-0.559016994375;-0.254203290124
1;4;2;0.416666666667;0.0492067831305;0.5;0.658504607869;-0.609297824738
2;4;2;0.833333333333;1.52541027705;0.583333333333;1.2229371289;0.302473148147
3;4;2;0.0;-1.42699671078;0.166666666667;-1.59922547625;0.172228765467
4;4;2;0.166666666667;-0.836515313219;0.25;-1.03479295522;0.198277642003
5;4;2;0.666666666667;0.93492887948;0.416666666667;0.0940720868384;0.840856792641
6;4;2;0.333333333333;-0.246033915653;0.5;0.658504607869;-0.904538523521
