5
AGL Experiment
2/24/2017	1:32:38 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SSC	5	5	RE SSC	1	RE String Training, 6	7	RE String Training (6, BDABD)	7	51033	BDABD	BDABD						BDABD	C	2066	
RE SSC	5	5	RE SSC	1	RE String Training, 4	5	RE String Training (4, ADBDD)	5	56185	ADBDD	ADBDD						ADBDD	C	1929	
RE SSC	5	5	RE SSC	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	61465	CBBAAD	CBBAAD						CBBAAD	C	1619	
RE SSC	5	5	RE SSC	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	68953	CAABABBD	CAABABBD						CAABABBD	C	1608	
RE SSC	5	5	RE SSC	1	RE String Training, 5	6	RE String Training (5, DADBA)	6	72825	DADBA	DADBA						DADBA	C	1285	
RE SSC	5	5	RE SSC	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	78633	ADBDBAD	ADBDBAD						ADBDBAD	C	1130	
RE SSC	5	5	RE SSC	1	RE String Training, 14	15	RE String Training (14, BDBAAAD)	15	84321	BDBAAAD	BDBAAAD						BDBAAAD	C	1937	
RE SSC	5	5	RE SSC	1	RE String Training, 9	10	RE String Training (9, DBDBBD)	10	89217	DBDBBD	DBDBBD						DBDBBD	C	1366	
RE SSC	5	5	RE SSC	1	RE String Training, 23	24	RE String Training (23, ADDBDBAD)	24	95841	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	1170	
RE SSC	5	5	RE SSC	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	100369	CBBBD	CBBBD						CBBBD	C	1553	
RE SSC	5	5	RE SSC	1	RE String Training, 20	21	RE String Training (20, DDDAAABA)	21	105321	DDDAAABA	DDDAAABA						DDDAAABA	C	1044	
RE SSC	5	5	RE SSC	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	110345	DDBDAD	DDBDAD						DDBDAD	C	1334	
RE SSC	5	5	RE SSC	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	115273	DDBDBAD	DDBDBAD						DDBDBAD	C	1325	
RE SSC	5	5	RE SSC	1	RE String Training, 8	9	RE String Training (8, ADDDBA)	9	119089	ADDDBA	ADDDBA						ADDDBA	C	1008	
RE SSC	5	5	RE SSC	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	122857	AADBA	AADBA						AADBA	C	808	
RE SSC	5	5	RE SSC	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	128769	CABABD	CABABD						CABABD	C	1105	
RE SSC	5	5	RE SSC	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	134817	DCBBBAD	DCBBBAD						DCBBBAD	C	1252	
RE SSC	5	5	RE SSC	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	142569	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	1666	
RE SSC	5	5	RE SSC	1	RE String Training, 21	22	RE String Training (21, DDBDAAAD)	22	147768	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	1308	
