2
AGL Experiment
2/23/2017	1:19:03 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SSC	2	2	RE SSC	1	RE String Training, 20	21	RE String Training (20, DDDAAABA)	21	27904	DDDAAABA	DDDAAABA						DDDAAABA	C	3606	
RE SSC	2	2	RE SSC	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	36400		DDBDBAD 						DDBDBAD	E	1422	
RE SSC	2	2	RE SSC	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	44879	DDBDBAD	DDBDBAD						DDBDBAD	SC	10110	
RE SSC	2	2	RE SSC	1	RE String Training, 9	10	RE String Training (9, DBDBBD)	10	50783	DBDBBD	DBDBBD						DBDBBD	C	1047	
RE SSC	2	2	RE SSC	1	RE String Training, 5	6	RE String Training (5, DADBA)	6	54991	DADBA	DADBA						DADBA	C	1115	
RE SSC	2	2	RE SSC	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	60799	DCBBBAD	DCBBBAD						DCBBBAD	C	1251	
RE SSC	2	2	RE SSC	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	65487	CBBBD	CBBBD						CBBBD	C	1395	
RE SSC	2	2	RE SSC	1	RE String Training, 23	24	RE String Training (23, ADDBDBAD)	24	71551	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	887	
RE SSC	2	2	RE SSC	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	75295	CBBAAD	CBBAAD						CBBAAD	C	1148	
RE SSC	2	2	RE SSC	1	RE String Training, 6	7	RE String Training (6, BDABD)	7	81895	BDABD	BDABD						BDABD	C	1279	
RE SSC	2	2	RE SSC	1	RE String Training, 14	15	RE String Training (14, BDBAAAD)	15	88887	BDBAAAD	BDBAAAD						BDBAAAD	C	1398	
RE SSC	2	2	RE SSC	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	96871	CABABD	CABABD						CABABD	C	1214	
RE SSC	2	2	RE SSC	1	RE String Training, 8	9	RE String Training (8, ADDDBA)	9	101031	ADDDBA	ADDDBA						ADDDBA	C	847	
RE SSC	2	2	RE SSC	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	110063	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	1121	
RE SSC	2	2	RE SSC	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	113151	AADBA	AADBA						AADBA	C	967	
RE SSC	2	2	RE SSC	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	118911	CAABABBD	CAABABBD						CAABABBD	C	956	
RE SSC	2	2	RE SSC	1	RE String Training, 19	20	RE String Training (19, DAAADDBA)	20	123678	DAAADDBA	DAAADDBA						DAAADDBA	C	925	
RE SSC	2	2	RE SSC	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	129551	CAABBAD	CAABBAD						CAABBAD	C	879	
RE SSC	2	2	RE SSC	1	RE String Training, 7	8	RE String Training (7, ABDAAD)	8	134463	ABDAAD	ABDAAD						ABDAAD	C	1220	
RE SSC	2	2	RE SSC	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	139446	DDBDAD	DDBDAD						DDBDAD	C	952	
