4
AGL Experiment
2/24/2017	12:57:49 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SCS	4	4	RE SCS	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	38823		caabbad 						CAABBAD	E	2683	
RE SCS	4	4	RE SCS	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	46038	CAABBAD	caabbad						CAABBAD	SC	14539	
RE SCS	4	4	RE SCS	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	53902	DDBDBAD	ddbdbad						DDBDBAD	C	1906	
RE SCS	4	4	RE SCS	1	RE String Training, 7	8	RE String Training (7, ABDAAD)	8	59878	ABDAAD	abdaad						ABDAAD	C	1575	
RE SCS	4	4	RE SCS	1	RE String Training, 21	22	RE String Training (21, DDBDAAAD)	22	71902		ddbddaaa						DDBDAAAD	E	1656	
RE SCS	4	4	RE SCS	1	RE String Training, 21	22	RE String Training (21, DDBDAAAD)	22	80574	DDBDAAAD	ddbdaaad						DDBDAAAD	SC	14528	
RE SCS	4	4	RE SCS	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	88486	CAABABBD	caababbd						CAABABBD	C	1645	
RE SCS	4	4	RE SCS	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	94854	DCBBBAD	dcbbbad						DCBBBAD	C	1583	
RE SCS	4	4	RE SCS	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	99830	CBBAAD	cbbaad						CBBAAD	C	1250	
RE SCS	4	4	RE SCS	1	RE String Training, 8	9	RE String Training (8, ADDDBA)	9	104806	ADDDBA	adddba						ADDDBA	C	1130	
RE SCS	4	4	RE SCS	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	109846	AADBA	aadba						AADBA	C	1339	
RE SCS	4	4	RE SCS	1	RE String Training, 6	7	RE String Training (6, BDABD)	7	115590	BDABD	bdabd						BDABD	C	1865	
RE SCS	4	4	RE SCS	1	RE String Training, 20	21	RE String Training (20, DDDAAABA)	21	121358	DDDAAABA	dddaaaba						DDDAAABA	C	1651	
RE SCS	4	4	RE SCS	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	128390	ADBDBAD	adbdbad						ADBDBAD	C	1365	
RE SCS	4	4	RE SCS	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	133958	DDBDAD	ddbdad						DDBDAD	C	1332	
