7
AGL Experiment
2/24/2017	4:56:26 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SSC	7	7	RE SSC	1	RE String Training, 21	22	RE String Training (21, DDBDAAAD)	22	34828	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	1829	
RE SSC	7	7	RE SSC	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	39364	CAABABBD	CAABABBD						CAABABBD	C	1347	
RE SSC	7	7	RE SSC	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	44356	DDBDAD	DDBDAD						DDBDAD	C	1702	
RE SSC	7	7	RE SSC	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	47356	CBBAAD	CBBAAD						CBBAAD	C	1294	
RE SSC	7	7	RE SSC	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	51572	CAABBAD	CAABBAD						CAABBAD	C	758	
RE SSC	7	7	RE SSC	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	55876	DCBBBAD	DCBBBAD						DCBBBAD	C	1957	
RE SSC	7	7	RE SSC	1	RE String Training, 7	8	RE String Training (7, ABDAAD)	8	59524	ABDAAD	ABDAAD						ABDAAD	C	617	
RE SSC	7	7	RE SSC	1	RE String Training, 19	20	RE String Training (19, DAAADDBA)	20	64060	DAAADDBA	DAAADDBA						DAAADDBA	C	791	
RE SSC	7	7	RE SSC	1	RE String Training, 2	3	RE String Training (2, CABAD)	3	66492	CABAD	CABAD						CABAD	C	1018	
RE SSC	7	7	RE SSC	1	RE String Training, 4	5	RE String Training (4, ADBDD)	5	68556	ADBDD	ADBDD						ADBDD	C	593	
RE SSC	7	7	RE SSC	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	70748	AADBA	AADBA						AADBA	C	742	
RE SSC	7	7	RE SSC	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	75132	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	703	
RE SSC	7	7	RE SSC	1	RE String Training, 20	21	RE String Training (20, DDDAAABA)	21	79972	DDDAAABA	DDDAAABA						DDDAAABA	C	808	
RE SSC	7	7	RE SSC	1	RE String Training, 6	7	RE String Training (6, BDABD)	7	83964	BDABD	BDABD						BDABD	C	1172	
RE SSC	7	7	RE SSC	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	86492	CBBBD	CBBBD						CBBBD	C	1213	
RE SSC	7	7	RE SSC	1	RE String Training, 23	24	RE String Training (23, ADDBDBAD)	24	91540	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	593	
RE SSC	7	7	RE SSC	1	RE String Training, 5	6	RE String Training (5, DADBA)	6	95780	DADBA	DADBA						DADBA	C	1102	
RE SSC	7	7	RE SSC	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	98876	CABABD	CABABD						CABABD	C	1006	
RE SSC	7	7	RE SSC	1	RE String Training, 9	10	RE String Training (9, DBDBBD)	10	101636	DBDBBD	DBDBBD						DBDBBD	C	673	
RE SSC	7	7	RE SSC	1	RE String Training, 17	18	RE String Training (17, ACAAABD)	18	105876	ACAAABD	ACAAABD						ACAAABD	C	626	
RE SSC	7	7	RE SSC	1	RE String Training, 8	9	RE String Training (8, ADDDBA)	9	108500	ADDDBA	ADDDBA						ADDDBA	C	609	
RE SSC	7	7	RE SSC	1	RE String Training, 14	15	RE String Training (14, BDBAAAD)	15	113124	BDBAAAD	BDBAAAD						BDBAAAD	C	953	
RE SSC	7	7	RE SSC	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	117036	DDBDBAD	DDBDBAD						DDBDBAD	C	1047	
RE SSC	7	7	RE SSC	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	120540	ADBDBAD	ADBDBAD						ADBDBAD	C	514	
RE SSC	7	7	RE SSC	1	RE String Training1, 18	43	RE String Training (18, DCBBBAD)	19	126460	DCBBBAD	DCBBBAD						DCBBBAD	C	1542	
RE SSC	7	7	RE SSC	1	RE String Training1, 2	27	RE String Training (2, CABAD)	3	129356	CABAD	CABAD						CABAD	C	1009	
RE SSC	7	7	RE SSC	1	RE String Training1, 23	48	RE String Training (23, ADDBDBAD)	24	132772	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	621	
