4
AGL Experiment
2/24/2017	12:58:14 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SSC	4	4	RE SSC	1	RE String Training1, 6	31	RE String Training (6, BDABD)	7	210914	BDABD	BDABD						BDABD	C	2131	
RE SSC	4	4	RE SSC	1	RE String Training1, 14	39	RE String Training (14, BDBAAAD)	15	215306	BDBAAAD	BDBAAAD						BDBAAAD	C	1516	
RE SSC	4	4	RE SSC	1	RE String Training1, 3	28	RE String Training (3, CBBBD)	4	218058	CBBBD	CBBBD						CBBBD	C	1132	
RE SSC	4	4	RE SSC	1	RE String Training1, 20	45	RE String Training (20, DDDAAABA)	21	221786	DDDAAABA	DDDAAABA						DDDAAABA	C	1134	
RE SSC	4	4	RE SSC	1	RE String Training1, 2	27	RE String Training (2, CABAD)	3	225498	CABAD	CABAD						CABAD	C	1369	
RE SSC	4	4	RE SSC	1	RE String Training1, 16	41	RE String Training (16, DDBDBAD)	17	230418	DDBDAD	DDBDAD						DDBDBAD	E	797	
RE SSC	4	4	RE SSC	1	RE String Training1, 16	41	RE String Training (16, DDBDBAD)	17	233962		DDBDBSD						DDBDBAD	E	6077	
RE SSC	4	4	RE SSC	1	RE String Training1, 16	41	RE String Training (16, DDBDBAD)	17	241514	DDBDBAD	DDBDBAD						DDBDBAD	SC	9741	
RE SSC	4	4	RE SSC	1	RE String Training1, 18	43	RE String Training (18, DCBBBAD)	19	246194	DCBBBAD	DCBBBAD						DCBBBAD	C	1308	
RE SSC	4	4	RE SSC	1	RE String Training1, 19	44	RE String Training (19, DAAADDBA)	20	250434	DAAADDBA	DAAADDBA						DAAADDBA	C	1057	
RE SSC	4	4	RE SSC	1	RE String Training1, 5	30	RE String Training (5, DADBA)	6	253578	DADBA	DADBA						DADBA	C	1312	
RE SSC	4	4	RE SSC	1	RE String Training2, 11	60	RE String Training (11, CBBAAD)	12	257474	CBBAAD	CBBAAD						CBBAAD	C	1122	
RE SSC	4	4	RE SSC	1	RE String Training2, 24	73	RE String Training (24, CAABABBD)	25	261434	CAABABBD	CAABABBD						CAABABBD	C	1062	
RE SSC	4	4	RE SSC	1	RE String Training2, 12	61	RE String Training (12, CABABD)	13	264882	CABABD	CABABD						CABABD	C	1288	
RE SSC	4	4	RE SSC	1	RE String Training2, 2	51	RE String Training (2, CABAD)	3	268402	CABAD	CABAD						CABAD	C	1278	
RE SSC	4	4	RE SSC	1	RE String Training2, 15	64	RE String Training (15, ADBDBAD)	16	272697	ADBDBAD	ADBDBAD						ADBDBAD	C	777	
RE SSC	4	4	RE SSC	1	RE String Training2, 10	59	RE String Training (10, DDBDAD)	11	276482	DDBDAD	DDBDAD						DDBDAD	C	925	
RE SSC	4	4	RE SSC	1	RE String Training2, 16	65	RE String Training (16, DDBDBAD)	17	281105	DDBDBAD	DDBDBAD						DDBDBAD	C	758	
RE SSC	4	4	RE SSC	1	RE String Training2, 6	55	RE String Training (6, BDABD)	7	284257	BDABD	BDABD						BDABD	C	1429	
RE SSC	4	4	RE SSC	1	RE String Training2, 1	50	RE String Training (1, AADBA)	2	286977	AADBA	AADBA						AADBA	C	671	
RE SSC	4	4	RE SSC	1	RE String Training2, 7	56	RE String Training (7, ABDAAD)	8	291553	ABDAAD	ABDAAD						ABDAAD	C	554	
RE SSC	4	4	RE SSC	1	RE String Training2, 13	62	RE String Training (13, CAABBAD)	14	294817	CAABBAD	CAABBAD						CAABBAD	C	947	
RE SSC	4	4	RE SSC	1	RE String Training2, 23	72	RE String Training (23, ADDBDBAD)	24	298746	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	1193	
RE SSC	4	4	RE SSC	1	RE String Training2, 20	69	RE String Training (20, DDDAAABA)	21	302426	DDDAAABA	DDDAAABA						DDDAAABA	C	827	
RE SSC	4	4	RE SSC	1	RE String Training2, 9	58	RE String Training (9, DBDBBD)	10	305762	DBDBBD	DBDBBD						DBDBBD	C	1264	
RE SSC	4	4	RE SSC	1	RE String Training2, 4	53	RE String Training (4, ADBDD)	5	308697	ADBDD	ADBDD						ADBDD	C	1091	
RE SSC	4	4	RE SSC	1	RE String Training2, 17	66	RE String Training (17, ACAAABD)	18	311882	ACAAABD	ACAAABD						ACAAABD	C	925	
RE SSC	4	4	RE SSC	1	RE String Training2, 8	57	RE String Training (8, ADDDBA)	9	314673	ADDDBA	ADDDBA						ADDDBA	C	885	
RE SSC	4	4	RE SSC	1	RE String Training2, 14	63	RE String Training (14, BDBAAAD)	15	318497	BDBAAAD	BDBAAAD						BDBAAAD	C	1157	
RE SSC	4	4	RE SSC	1	RE String Training2, 5	54	RE String Training (5, DADBA)	6	321361	DADBA	DADBA						DADBA	C	1084	
RE SSC	4	4	RE SSC	1	RE String Training2, 21	70	RE String Training (21, DDBDAAAD)	22	324785	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	1042	
